process count
152

process list
  PID TTY      STAT   TIME COMMAND
Linux 4.15.0-99-generic (wnode02) 	06/03/20 	_x86_64_	(2 CPU)

22:04:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:04:52        all      0.00      0.00      0.00      0.00      0.00    100.00
22:04:52          0      0.00      0.00      0.00      0.00      0.00    100.00
22:04:52          1      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00

check heavy process with sar
Linux 4.15.0-99-generic (wnode02) 	06/03/20 	_x86_64_	(2 CPU)

22:04:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:04:53        all     50.00      0.00      0.00      0.00      0.00     50.00
22:04:53          0     99.00      0.00      1.00      0.00      0.00      0.00
22:04:53          1      0.00      0.00      0.00      0.00      0.00    100.00

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     50.00      0.00      0.00      0.00      0.00     50.00
Average:          0     99.00      0.00      1.00      0.00      0.00      0.00
Average:          1      0.00      0.00      0.00      0.00      0.00    100.00

check run queue length with sar (no other tasks)
Linux 4.15.0-99-generic (wnode02) 	06/03/20 	_x86_64_	(2 CPU)

22:04:53      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
22:04:54            0       335      0.08      0.02      0.01         0
Average:            0       335      0.08      0.02      0.01         0

check run queue length with sar (exist loop task)
Linux 4.15.0-99-generic (wnode02) 	06/03/20 	_x86_64_	(2 CPU)

22:04:54      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
22:04:55            1       336      0.15      0.03      0.01         0
Average:            1       336      0.15      0.03      0.01         0
Linux 4.15.0-99-generic (wnode02) 	06/03/20 	_x86_64_	(2 CPU)

22:04:55      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
22:04:56            2       337      0.15      0.03      0.01         0
Average:            2       337      0.15      0.03      0.01         0
